id,character,outfit,Rarity,Type,group,AP cooldown,AP duration
1,Tokino Sora,We are hololive!,3,Happy,Gen 0,17,6
2,Robocosan,We are hololive!,3,Pure,Gen 0,20,10
3,AZKi,We are hololive!,3,Happy,Gen 0,27,6
4,Sakura Miko,We are hololive!,3,Cute,Gen 0,30,13
5,Hohsimachi Suisei,We are hololive!,3,Cute,Gen 0,23,7
6,Aki Rosethal,We are hololive!,3,Pure ,Gen 1,20,7
7,Akai Haato,We are hololive!,3,Happy,Gen1,27,12
8,Shirakami Fubuki,We are hololive!,3,Happy,"Gen 1, Gamers",30,13
9,Natsuiro Matsuri,We are hololive!,3,Cute,Gen1,30,13
10,Nakiri Ayame,We are hololive!,3,Happy,Gen 2,17,6
11,Yuzuki Choco,We are hololive!,3,Cute,Gen 2,30,13
12,Oozora Subaru,We are hololive!,3,Pure,Gen 2,30,13
13,Ookami Mio,We are hololive!,3,Pure,Gamers,17,6
14,Nekomata Okayu,We are hololive!,3,Happy,Gamers,22,7
15,Inugami Korone,We are hololive!,3,Pure,Gamers,26,10
16,Usada Pekora,We are hololive!,3,Pure,Gen 3,22,8
17,Shiranui Flare,We are hololive!,3,Happy,Gen 3,33,13
18,Shirogane Neol,We are hololive!,3,Cute,Gen 3,17,6
19,Houshou Marine,We are hololive!,3,Pure,Gen 3,25,7
20,Tsunomaki Watame,We are hololive!,3,Pure,Gen 4,17,6
21,Tokoyami Towa,We are hololive!,3,Cute,Gen 4,28,7
22,Himemori Luna,We are hololive!,3,Cute,Gen 4,33,13
23,Yukihana Lamy,We are hololive!,3,Cute,Gen 5,28,7
24,Momosuzu Nene,We are hololive!,3,Pure,Gen 5,17,6
25,Shishiro Botan,We are hololive!,3,Cute,Gen 5,25,9
26,Omaru Polka,We are hololive!,3,Pure,Gen 5,17,6
27,La+ Darknesss,We are hololive!,3,Cute,holoX,22,8
28,Takane Lui,We are hololive!,3,Pure,holoX,28,7
29,Hakui Koyori,We are hololive!,3,Happy,holoX,33,13
30,Kazama Iroha,We are hololive!,3,Happy,holoX,17,6
31,Ayunda Risu,We are hololive!,3,Cute,ID Gen 1,17,6
32,Moona Hoshinova,We are hololive!,3,Pure,ID Gen 1,28,10
33,Airani Iofifteen,We are hololive!,3,Cute,ID Gen 1,25,7
34,Kureiji Ollie,We are hololive!,3,Happy,ID Gen 2,25,7
35,Anya Melfissa,We are hololive!,3,Pure ,ID Gen 2,17,6
36,Pavolia Reine,We are hololive!,3,Cute,ID Gen 2,30,13
37,Vestia Zeta,We are hololive!,3,Pure,ID Gen 3,30,13
38,Kaela Kovalskia,We are hololive!,3,Happy,ID Gen 3,33,13
39,Kobo Kanaeru,We are hololive!,3,Cute,ID Gen 3,17,6
40,Mori Calliope,We are hololive!,3,Happy,Myth,17,6
41,Takanashi Kiara,We are hololive!,3,Pure,Myth,25,9
42,Ninomae Ina'nis,We are hololive!,3,Happy,Myth,33,13
43,IRyS,We are hololive!,3,Cute,Promise,25,11
44,Ouro Kronii,We are hololive!,3,Pure,Promise,33,13
45,Hakos Baelz,We are hololive!,3,Cute,Promise,17,6
46,Shiori Novella,We are hololive!,3,Pure,Advent,17,6
47,Koseki Bijou,We are hololive!,3,Cute,Advent,15,6
48,Nerissa Ravencroft,We are hololive!,3,Happy,Advent,28,9
49,Fuwawa Abyssgard,We are hololive!,3,Happy,Advent,25,8
50,Mococo Abyssgard,We are hololive!,3,Happy,Advent,30,13
51,Otonose Kanade,We are hololive!,3,Happy,ReGLOSS,15,6
52,Ichijou Ririka,We are hololive!,3,Pure,ReGLOSS,28,9
53,Juufuutei Raden,We are hololive!,3,Cute,ReGLOSS,25,8
54,Todoroki Hajime,We are hololive!,3,Happy,ReGLOSS,17,6
55,Tokino Sora,Let My Voice Reach the Sky,4,Pure,Gen 0,26,10
56,Robocosan,Dreamy Wink Concert,4,Cute,Gen 0,24,10
57,AZKi,Upon a Tender Melody,4,Cute,Gen 0,16,5
58,Sakura Miko,Embrace the Glow,4,Pure,Gen 0,23,10
59,Hohsimachi Suisei,Radiant Floor Star,4,Happy,Gen 0,31,10
60,Aki Rosethal,Curious Elf Melody,4,Happy,Gen 1,23,10
61,Akai Haato,Wild Heartbeat Gig,4,Cute,Gen1,24,10
62,Shirakami Fubuki,Max-Gear Fox Show,4,Cute,"Gen 1, Gamers",23,10
63,Natsuiro Matsuri,Sweet Cheeky Stage,4,Pure,Gen1,24,10
64,Nakiri Ayame,Demnic Encore,4,Cute,Gen 2,29,9
65,Yuzuki Choco,Dr. Allure's Live,4,Pure,Gen 2,28,10
66,Oozora Subaru,Radiant Soul Jam,4,Happy,Gen 2,34,11
67,Ookami Mio,Sunlit Wolf Song,4,Happy,Gamers,32,11
68,Nekomata Okayu,Mesmerizing Cat Jam,4,Pure,Gamers,25,10
69,Inugami Korone,Outlaw Puppy Rhyme,4,Cute,Gamers,18,7
70,Usada Pekora,Vogue Hop Bunny,4,Happy,Gen 3,25,10
71,Shiranui Flare,Graceful Empathy,4,Cute,Gen 3,20,7
72,Shirogane Neol,Vocal Juggernaut,4,Pure,Gen 3,29,12
73,Houshou Marine,Corsair's Conquest,4,Cute,Gen 3,25,8
74,Tsunomaki Watame,Zenith Resonance,4,Happy,Gen 4,35,12
75,Tokoyami Towa,Midnight Serentiy,4,Happy,Gen 4,28,10
76,Himemori Luna,Ethereal Princess,4,Pure,Gen 4,18,7
